date,stringency_index
10/30/2021,50.17
10/31/2021,50.16
11/1/2021,50.15
11/2/2021,50.11
11/3/2021,50.08
11/4/2021,50.05
11/5/2021,50.02
11/6/2021,50
11/7/2021,49.98
11/8/2021,49.96
11/9/2021,49.93
11/10/2021,49.91
11/11/2021,49.89
11/12/2021,49.86
11/13/2021,49.85
11/14/2021,49.84
11/15/2021,49.82
11/16/2021,49.81
11/17/2021,49.79
11/18/2021,49.78
11/19/2021,49.76
11/20/2021,49.75
11/21/2021,49.75
11/22/2021,49.74
11/23/2021,49.72
11/24/2021,49.71
11/25/2021,49.7
11/26/2021,49.68
11/27/2021,49.68
11/28/2021,49.67
11/29/2021,49.66
11/30/2021,49.65
12/1/2021,49.64
12/2/2021,49.62
12/3/2021,49.62
12/4/2021,49.6
12/5/2021,49.6
12/6/2021,49.59
12/7/2021,49.57
12/8/2021,49.57
12/9/2021,49.56
12/10/2021,49.54
12/11/2021,49.53
12/12/2021,49.53
12/13/2021,49.51
12/14/2021,49.5
12/15/2021,49.49
12/16/2021,49.48
12/17/2021,49.46
12/18/2021,49.45
12/19/2021,49.45
12/20/2021,49.43
12/21/2021,49.42
12/22/2021,49.4
12/23/2021,53.58
12/24/2021,53.57
12/25/2021,53.57
12/26/2021,53.57
12/27/2021,53.55
12/28/2021,53.53
12/29/2021,53.52
12/30/2021,53.51
12/31/2021,53.5
1/1/2022,53.5
1/2/2022,53.5
1/3/2022,53.48
1/4/2022,53.46
1/5/2022,53.44
1/6/2022,53.44
1/7/2022,53.41
1/8/2022,53.39
1/9/2022,53.37
1/10/2022,53.34
1/11/2022,53.32
1/12/2022,53.3
1/13/2022,53.27
1/14/2022,53.26
1/15/2022,53.24
1/16/2022,53.23
1/17/2022,53.21
1/18/2022,53.19
1/19/2022,53.16
1/20/2022,53.14
1/21/2022,53.12
1/22/2022,52.52
1/23/2022,52.51
1/24/2022,52.48
1/25/2022,52.45
1/26/2022,52.42
1/27/2022,52.39
1/28/2022,52.36
1/29/2022,52.33
1/30/2022,52.31
1/31/2022,52.27
2/1/2022,52.24
2/2/2022,52.21
2/3/2022,52.18
2/4/2022,52.14
2/5/2022,52.09
2/6/2022,52.07
2/7/2022,52.03
2/8/2022,52
2/9/2022,51.97
2/10/2022,51.94
2/11/2022,47.5
2/12/2022,47.46
2/13/2022,47.43
2/14/2022,47.4
2/15/2022,47.37
2/16/2022,47.34
2/17/2022,47.32
2/18/2022,47.29
2/19/2022,47.26
2/20/2022,47.24
2/21/2022,47.21
2/22/2022,47.19
2/23/2022,47.17
2/24/2022,47.15
2/25/2022,47.13
2/26/2022,47.11
2/27/2022,47.09
2/28/2022,46.57
3/1/2022,43.78
3/2/2022,43.78
3/3/2022,43.76
3/4/2022,43.76
3/5/2022,43.75
3/6/2022,43.74
3/7/2022,43.74
3/8/2022,43.73
3/9/2022,43.72
3/10/2022,43.72
3/11/2022,43.71
3/12/2022,43.71
3/13/2022,43.7
3/14/2022,43.7
3/15/2022,43.69
3/16/2022,43.69
3/17/2022,43.69
3/18/2022,43.68
3/19/2022,43.68
3/20/2022,43.68
3/21/2022,43.67
3/22/2022,43.67
3/23/2022,43.67
3/24/2022,43.67
3/25/2022,43.66
3/26/2022,43.66
3/27/2022,43.66
3/28/2022,43.65
3/29/2022,43.65
3/30/2022,43.65
3/31/2022,43.65
4/1/2022,36.46
4/2/2022,36.46
4/3/2022,36.46
4/4/2022,36.46
4/5/2022,36.46
4/6/2022,36.46
4/7/2022,36.45
4/8/2022,36.45
4/9/2022,36.45
4/10/2022,36.45
4/11/2022,36.45
4/12/2022,36.45
4/13/2022,36.45
4/14/2022,36.44
4/15/2022,36.44
4/16/2022,36.44
4/17/2022,36.44
4/18/2022,36.44
4/19/2022,36.44
4/20/2022,36.44
4/21/2022,36.44
4/22/2022,36.44
4/23/2022,36.44
4/24/2022,36.44
4/25/2022,36.44
4/26/2022,36.44
4/27/2022,36.44
4/28/2022,36.44
4/29/2022,36.44
4/30/2022,36.43
5/1/2022,22.52
5/2/2022,22.52
5/3/2022,22.52
5/4/2022,22.52
5/5/2022,22.52
5/6/2022,22.52
5/7/2022,22.52
5/8/2022,22.52
5/9/2022,22.52
5/10/2022,22.52
5/11/2022,22.52
5/12/2022,22.52
5/13/2022,22.52
5/14/2022,22.52
5/15/2022,22.52
5/16/2022,22.52
5/17/2022,22.52
5/18/2022,22.52
5/19/2022,22.52
5/20/2022,22.52
5/21/2022,22.52
5/22/2022,22.52
5/23/2022,22.52
5/24/2022,22.52
5/25/2022,22.52
5/26/2022,22.52
5/27/2022,22.52
5/28/2022,22.52
5/29/2022,22.52
5/30/2022,22.52
5/31/2022,22.52
6/1/2022,19.22
6/2/2022,19.22
6/3/2022,19.22
6/4/2022,19.22
6/5/2022,19.22
6/6/2022,19.22
6/7/2022,19.22
6/8/2022,19.22
6/9/2022,19.22
6/10/2022,19.22
6/11/2022,19.22
6/12/2022,19.22
6/13/2022,19.22
6/14/2022,19.22
6/15/2022,19.22
6/16/2022,19.22
6/17/2022,19.22
6/18/2022,19.22
6/19/2022,19.22
6/20/2022,19.22
6/21/2022,19.22
6/22/2022,19.22
6/23/2022,19.22
6/24/2022,19.22
6/25/2022,19.22
6/26/2022,19.22
6/27/2022,19.22
6/28/2022,19.22
6/29/2022,19.22
6/30/2022,19.22
7/1/2022,19.22
7/2/2022,19.22
7/3/2022,19.22
7/4/2022,19.22
7/5/2022,19.22
7/6/2022,19.22
7/7/2022,19.22
7/8/2022,19.22
7/9/2022,19.22
7/10/2022,19.22
7/11/2022,19.22
7/12/2022,19.22
7/13/2022,19.22
7/14/2022,19.22
7/15/2022,19.22
7/16/2022,19.22
7/17/2022,19.22
7/18/2022,19.22
7/19/2022,19.22
7/20/2022,19.22
7/21/2022,19.22
7/22/2022,19.22
7/23/2022,19.22
7/24/2022,19.22
7/25/2022,19.22
7/26/2022,19.22
7/27/2022,19.22
7/28/2022,19.22
7/29/2022,19.22
7/30/2022,19.22
7/31/2022,19.22
8/1/2022,19.22
8/2/2022,19.22
8/3/2022,19.22
8/4/2022,19.22
8/5/2022,19.22
8/6/2022,19.22
8/7/2022,19.22
8/8/2022,19.22
8/9/2022,19.22
8/10/2022,19.22
8/11/2022,19.22
8/12/2022,19.22
8/13/2022,19.22
8/14/2022,19.22
8/15/2022,19.22
8/16/2022,19.22
8/17/2022,19.22
8/18/2022,19.22
8/19/2022,19.22
8/20/2022,19.22
8/21/2022,19.22
8/22/2022,19.22
8/23/2022,19.22
8/24/2022,19.22
8/25/2022,19.22
8/26/2022,19.22
8/27/2022,19.22
8/28/2022,19.22
8/29/2022,19.22
8/30/2022,19.22
8/31/2022,19.22
9/1/2022,15.51
9/2/2022,15.51
9/3/2022,15.51
9/4/2022,15.51
9/5/2022,15.51
9/6/2022,15.51
9/7/2022,15.51
9/8/2022,15.51
9/9/2022,15.51
9/10/2022,15.51
9/11/2022,15.51
9/12/2022,15.51
9/13/2022,15.51
9/14/2022,15.51
9/15/2022,15.51
9/16/2022,15.51
9/17/2022,15.51
9/18/2022,15.51
9/19/2022,15.51
9/20/2022,15.51
9/21/2022,15.51
9/22/2022,15.51
9/23/2022,15.51
9/24/2022,15.51
9/25/2022,15.51
9/26/2022,15.51
9/27/2022,15.51
9/28/2022,15.51
9/29/2022,15.51
9/30/2022,15.51
10/1/2022,15.51
10/2/2022,15.51
10/3/2022,15.51
10/4/2022,15.51
10/5/2022,15.51
10/6/2022,15.51
10/7/2022,15.51
10/8/2022,15.51
10/9/2022,15.51
10/10/2022,15.51
10/11/2022,15.51
10/12/2022,15.51
10/13/2022,15.51
10/14/2022,15.51
10/15/2022,15.51
10/16/2022,15.51
10/17/2022,15.51
10/18/2022,15.51
10/19/2022,15.51
10/20/2022,15.51
10/21/2022,15.51
10/22/2022,15.51
10/23/2022,15.51
10/24/2022,15.51
10/25/2022,15.51
10/26/2022,15.51
10/27/2022,15.51
10/28/2022,15.51
10/29/2022,15.51
10/30/2022,15.51
10/31/2022,15.51
11/1/2022,15.51
11/2/2022,15.51
11/3/2022,15.51
11/4/2022,15.51
11/5/2022,15.51
11/6/2022,15.51
11/7/2022,15.51
11/8/2022,19.21
11/9/2022,19.21
11/10/2022,19.21
11/11/2022,19.21
11/12/2022,19.21
11/13/2022,19.21
11/14/2022,19.21
11/15/2022,19.21
11/16/2022,19.21
11/17/2022,19.21
11/18/2022,19.21
11/19/2022,19.21
11/20/2022,19.21
11/21/2022,19.21
11/22/2022,19.21
11/23/2022,19.21
11/24/2022,19.21
11/25/2022,19.21
11/26/2022,19.21
11/27/2022,19.21
11/28/2022,19.21
11/29/2022,19.21
11/30/2022,19.21
12/1/2022,19.21
12/2/2022,19.21
12/3/2022,19.21
12/4/2022,19.21
12/5/2022,19.21
12/6/2022,19.21
12/7/2022,19.21
12/8/2022,19.21
12/9/2022,19.21
12/10/2022,19.21
12/11/2022,19.21
12/12/2022,19.21
12/13/2022,19.21
12/14/2022,19.21
12/15/2022,19.21
12/16/2022,19.21
12/17/2022,19.21
12/18/2022,19.21
12/19/2022,19.21
12/20/2022,19.21
12/21/2022,19.21
12/22/2022,19.21
12/23/2022,19.21
12/24/2022,19.21
12/25/2022,19.21
12/26/2022,19.21
12/27/2022,19.21
12/28/2022,21.99
12/29/2022,21.99
12/30/2022,21.99
12/31/2022,21.99
